Item Code,CPC Code,Item
34,'23220.03,Starch; rice
340,'21691.90,Oil; vegetable origin nes
343,'21920,Flour; oilseeds
35,'39120.02,Bran; rice
358,'01212,Cabbages and other brassicas
36,'21691.01,Oil; rice bran
366,'01216,Artichokes
367,'01211,Asparagus
372,'01214,Lettuce and chicory
373,'01215,Spinach
378,'01219.01,Cassava leaves
38,'23120.01,Flour; rice
388,'01234,Tomatoes
39,'24230.02,Beverages; fermented rice
390,'21321,Juice; tomato
391,'21399.01,Tomatoes; paste
392,'21399.02,Tomatoes; peeled
393,'01213,Cauliflowers and broccoli
394,'01235,Pumpkins; squash and gourds
397,'01232,Cucumbers and gherkins
399,'01233,Eggplants (aubergines)
401,'01231,Chillies and peppers; green
402,'01253.01,Onions; shallots; green
403,'01253.02,Onions; dry
406,'01252,Garlic
407,'01254,Leeks; other alliaceous vegetables
41,'23140.03,Cereals; breakfast
414,'01241.90,Beans; green
417,'01242,Peas; green
420,'01243,Vegetables; leguminous nes
423,'01241.01,String beans
426,'01251,Carrots and turnips
430,'01239.01,Okra
44,'0115,Barley
446,'01290.01,Maize; green
447,'21319.01,Sweet corn frozen
448,'21399.03,Sweet corn prep or preserved
449,'01270,Mushrooms and truffles
45,'23140.04,Barley; pot
450,'21393.01,Mushrooms; dried
451,'21397.01,Mushrooms; canned
459,'01691,Chicory roots
46,'23140.05,Barley; pearled
460,'01990.01,Vegetables; fresh or dried products nes
461,'01356,Carobs
463,'01290.90,Vegetables; fresh nes
466,'21329,Juice; vegetables nes
469,'21393.90,Vegetables; dehydrated
47,'39120.03,Bran; barley
471,'21340,Vegetables in vinegar
472,'F0472,Vegetables; preserved nes
473,'F0473,Vegetables; frozen
474,'21330.90,Vegetables; temporarily preserved
475,'F0475,Vegetables; preserved; frozen
476,'23991.02,Vegetables; homogenized preparations
48,'23120.02,Flour; barley and grits
486,'01312,Bananas
489,'01313,Plantains and others
49,'24320,Malt
490,'01323,Oranges
491,'21431.01,Juice; orange; single strength
