"Sara Lee Branded Apparel","USHMC2",,,315110,315190,315240,315220,,,,,,,,,,,,,,,,,
"Sara Lee Corporation","BCUSCAT",,,311812,311513,311615,311612,,,,,,,,,,,,,,,,,
"SAS Global","BCUSCAT",,,332410,332420,333131,333132,333249,,,,,,,,,,,,,,,,
"Schreiber & Goldberg ","BCUSCAT",,,333318,,,,,,,,,,,,,,,,,,,,
"Schreiber LLC","BCUSCAT",,,333318,,,,,,,,,,,,,,,,,,,,
"Sears, Roebuck and Co. ","BCUSCAT",,,315110,315190,315210,315220,315240,315280,332216,333991,,,,,,,,,,,,,
"Schering-Plough Corporation","COA",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Seaboard Company","CMAC2",,,311611,311612,,,,,,,,,,,,,,,,,,,
"Sherpa ","BCUSCAT",,,,,,,,,,,,,,,,,,,,,,,
"Sherpa's Pet Trading Company ","BCUSCAT",,,316998,,,,,,,,,,,,,,,,,,,,
"Silverman Machines International","BCUSCAT",,,333249,,,,,,,,,,,,,,,,,,,,
"SMC Inc. ","BCUSCAT",,,333995,332912,332420,334512,334513,334519,331511,332912,332913,334512,,,,,,,,,,,
"Sony","BCUSCAT",,,334111,334310,333316,334220,339930,334413,334112,334210,334613,334290,333314,316998,,,,,,,,,
"Sosa Corp. ","BCUSCAT",,,,,,,,,,,,,,,,,,,,,,,
"Spectrum Dyed Yarns, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Spiller Operating Company, Inc. ","BCUSCAT",,,213111,,,,,,,,,,,,,,,,,,,,
"Style Source, Inc. ","BCUSCAT",,,315210,315220,315240,,,,,,,,,,,,,,,,,,
"Texas Instruments Incorporated ","BCUSCAT",,,334412,334413,334416,334417,334418,334419,334111,334112,334118,334511,334512,334513,,,,,,,,,
"The Proctor and Gamble Company ","BCUSCAT","CMAC2",,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,,
"Tuscarora Yarns, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Tyson Foods","CMAC2",,,311615,311611,311612,311824,311830,311941,311999,,,,,,,,,,,,,,
"Unifi, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
