2nd Solutions,LATC,,,,,,,,,,,,,,,,,,,,,,,
International Textile Group ,TEX,,,313210,,,,,,,,,,,,,,,,,,,,
International Titanium Corporation ,LATC,,,331110,333517,,,,,,,,,,,,,,,,,,,
"Interphase Technologies, Inc. ",LATC,,,334511,,,,,,,,,,,,,,,,,,,,
INVISTA,TEX,,,313110,325220,325211,313210,,,,,,,,,,,,,,,,,
Ironstone Vineyards,CCFT,,,312130,,,,,,,,,,,,,,,,,,,,
ISG Thermal Systems,LATC,,,334516,,,,,,,,,,,,,,,,,,,,
"It Straps On, Inc. ",LATC,,,332216,332510,331110,,,,,,,,,,,,,,,,,,
ITW Dynatec,LATC,,,333993,333120,,,,,,,,,,,,,,,,,,,
JBS USA,AGF1,,,311611,311612,311613,311615,,,,,,,,,,,,,,,,,
JCM Industries ,LATC,,,332996,,,,,,,,,,,,,,,,,,,,
Jergens,LATC,,,325620,,,,,,,,,,,,,,,,,,,,
Jockey International Inc. ,TEX,,,315240,315220,315110,,,,,,,,,,,,,,,,,,
John Deere ,LATC,,,333111,333120,333912,335999,335129,335221,335312,325998,332216,333613,333112,333618,333612,333996,336999,,,,,,
Johnson & Johnson ,LATC,,,325611,325620,32541,339112,339113,,,,,,,,,,,,,,,,
"Jorgensen Conveyors, Inc. ",LATC,,,333517,332618,333922,333318,,,,,,,,,,,,,,,,,
JR Simplot Company,AGF4,,,325311,325312,325314,325320,115112,115114,111339,311423,311411,311991,311999,311421,311111,311119,325312,325320,325199,325180,,,
Kanawha Scales & Systems ,LATC,,,333997,,,,,,,,,,,,,,,,,,,,
Kellwood Company,TEX,,,315240,315220,315210,,,,,,,,,,,,,,,,,,
Kennamental Inc. ,LATC,,,333517,333131,333120,331492,325180,,,,,,,,,,,,,,,,
Keystone Foods,AGF3,,,311611,311612,311613,311615,,,,,,,,,,,,,,,,,
Kikkoman Foods,CCFT,,,311941,311421,311422,311941,325411,,,,,,,,,,,,,,,,
Kimberly-Clark Corporation ,LATC,,,325620,339112,339113,339114,339115,32212,322291,322320,,,,,,,,,,,,,
King Electronic Packaging ,LATC,,,326112,326113,326140,326150,,,,,,,,,,,,,,,,,
KOMA Precision Inc. ,LATC,,,333515,333517,,,,,,,,,,,,,,,,,,,
"Kraft Foods, Inc. ",LATC,,,311340,311930,311941,311824,311511,311920,311612,311513,311911,311421,311919,311999,,,,,,,,,
Kurt Nonwoven,LATC,,,313230,,,,,,,,,,,,,,,,,,,,
Kwik-Kap Company ,LATC,,,324122,,,,,,,,,,,,,,,,,,,,
Levi Strauss & Co. ,TEX,,,315210,315220,315240,,,,,,,,,,,,,,,,,,
"Liz Claiborne, Inc. ",LATC,,,325620,,,,,,,,,,,,,,,,,,,,
Lockheed Martin Corporation ,LATC,,,334511,336414,336415,336419,336992,334220,334290,334511,,,,,,,,,,,,,
Lucent Technologies ,LATC,,,238210,334417,335921,,,,,,,,,,,,,,,,,,
Lykes Brothers Incorporated ,LATC,,,112111,111930,311314,111320,111310,,,,,,,,,,,,,,,,
Lyntech Speciality Managment Inc. ,LATC,,,325613,325612,,,,,,,,,,,,,,,,,,,
M.A. Ford ,LATC,,,333515,333517,,,,,,,,,,,,,,,,,,,
Mack Trucks Inc. ,LATC,,,336211,336120,336350,333618,336390,336320,332613,336330,336310,,,,,,,,,,,,
Magnitizer Group,LATC,,,333318,334519,333111,,,,,,,,,,,,,,,,,,
Manitowoc Company ,LATC,,,333120,333923,,,,,,,,,,,,,,,,,,,
Mansfield Plumbing ,LATC,,,327110,332913,326191,332999,,,,,,,,,,,,,,,,,
Mar jac poultry,AGF3,,,311615,,,,,,,,,,,,,,,,,,,,
Marlin Steel Wire,CT2,,,332618,332322,332323,,,,,,,,,,,,,,,,,,
Mars Inc. ,AGF3,,,311340,311351,311111,311212,311230,311412,311421,311422,311824,311919,311920,,,,,,,,,,
Mars Inc. ,LATC,,,311340,311351,311111,311212,311230,311412,311421,311422,311824,311919,311920,,,,,,,,,,
Master WorkHolding Inc. ,LATC,,,333514,333515,333517,333519,,,,,,,,,,,,,,,,,
Mayfran International ,LATC,,,333922,333415,333249,333519,,,,,,,,,,,,,,,,,
McNichols Company ,LATC,,,332618,332323,326199,332919,,,,,,,,,,,,,,,,,
Medtronic ,LATC,,,334510,339112,325620,,,,,,,,,,,,,,,,,,
Michael Foods,AGF3,,,311999,311423,311919,112310,,,,,,,,,,,,,,,,,
"Michael S. Becker, Inc. ",TEX,,,313110,,,,,,,,,,,,,,,,,,,,
"Micron Technology, Inc. ",LATC,,,334413,,,,,,,,,,,,,,,,,,,,
Microsoft,LATC,CEOS,,334111,334112,334118,334210,334220,,,,,,,,,,,,,,,,
Mission Produce Inc. ,LATC,,,111339,311942,,,,,,,,,,,,,,,,,,,
"MOL Industries, Inc. ",LATC,,,326220,333613,,,,,,,,,,,,,,,,,,,
Mountaire Farms,AGF3,,,311615,,,,,,,,,,,,,,,,,,,,
N-Line Tools ,LATC,,,333911,,,,,,,,,,,,,,,,,,,,
National Enzyme Co. ,LATC,,,325411,,,,,,,,,,,,,,,,,,,,
National Machinery,LATC,,,333517,333515,,,,,,,,,,,,,,,,,,,
National Spinning ,TEX,,,313110,325220,,,,,,,,,,,,,,,,,,,
Navistar,LATC,,,333924,336120,336211,336992,333618,,,,,,,,,,,,,,,,
Newmont Mining Corporation ,LATC,,,212221,331410,,,,,,,,,,,,,,,,,,,
Nexus Biometrics Incorporated ,LATC,,,334413,,,,,,,,,,,,,,,,,,,,
Nortel Networks Corporation,LATC,,,334210,334220,334417,,,,,,,,,,,,,,,,,,
North Bay Produce ,LATC,,,311941,111331,111334,111320,111339,111219,111130,111211,115114,,,,,,,,,,,,
Northrop Grumman Corporation ,LATC,,,336411,336412,336413,336414,336415,336419,336992,332993,334511,,,,,,,,,,,,
Occidental Petroleum Corporation ,LATC,,,211111,211112,324110,325211,325180,325199,325110,,,,,,,,,,,,,,
Ocean Spray,AGF1,,,111334,311423,311411,312111,311421,,,,,,,,,,,,,,,,
"Oerlikon Textile, Inc. ",TEX,,,313230,,,,,,,,,,,,,,,,,,,,
"Olim Industries of Israel NA, Ltd. ",LATC,,,325620,,,,,,,,,,,,,,,,,,,,
"Optical Gaging Products, Inc. ",LATC,,,334513,334519,333314,,,,,,,,,,,,,,,,,,
Orchid Ceramics ,LATC,,,327120,,,,,,,,,,,,,,,,,,,,
Otis McAllister,CT1,,,311212,311710,311421,311422,,,,,,,,,,,,,,,,,
Owens Illinois ,LATC,,,327213,327212,,,,,,,,,,,,,,,,,,,
Oxford Industries ,LATC,,,315210,315220,315240,315280,,,,,,,,,,,,,,,,,
Pacific Foods,AGF3,,,311422,311824,311941,311942,,,,,,,,,,,,,,,,,
Paramount Cosmetics ,LATC,,,325620,,,,,,,,,,,,,,,,,,,,
"Parkdale Mills, Inc. ",TEX,,,313110,325220,,,,,,,,,,,,,,,,,,,
Patagonia ,LATC,,,315220,315240,315990,316210,314910,315110,315210,316998,,,,,,,,,,,,,
"Patterson Fan Company, Inc. ",LATC,,,333413,333414,333415,,,,,,,,,,,,,,,,,,
Paulson Manufacturing Corporation,CT1,CCFT,,333992,339115,339113,,,,,,,,,,,,,,,,,,
PDC International ,LATC,,,333993,,,,,,,,,,,,,,,,,,,,
PepsiCo Inc. ,LATC,CT1,,312111,312112,311919,311230,311411,,,,,,,,,,,,,,,,
Perdue Farms,AGF3,,,311615,311412,,,,,,,,,,,,,,,,,,,
Perry Ellis International,TEX,,,315110,315190,315210,315220,315240,315280,,,,,,,,,,,,,,,
PG Enterprise ,LATC,,,316210,,,,,,,,,,,,,,,,,,,,
"Phelps Industries, Inc. ",LATC,,,336212,336211,332313,333995,335312,,,,,,,,,,,,,,,,
"Philip Morris International, Inc. ",LATC,,,312230,111910,115114,,,,,,,,,,,,,,,,,,
Phillips Electrionics North America,LATC,,,335210,334310,335110,,,,,,,,,,,,,,,,,,
Phillips-Van Heusen Corporation,TEX,,,315210,315220,315240,315280,315290,,,,,,,,,,,,,,,,
Ping Golf,LATC,,,339920,315210,,,,,,,,,,,,,,,,,,,
Polo Ralph Lauren Corporation,TEX,,,315110,315190,315210,315220,315240,315280,,,,,,,,,,,,,,,
Polyguard Products ,LATC,,,325510,,,,,,,,,,,,,,,,,,,,
"Power Accessories of the Americas, Inc.",LATC,,,333991,,,,,,,,,,,,,,,,,,,,
"PowerUp, Inc. ",LATC,,,334413,333414,334417,,,,,,,,,,,,,,,,,,
PPG Industries ,LATC,,,325510,333314,327211,327212,325199,325180,327120,,,,,,,,,,,,,,
Prestage Farms,AGF3,,,311611,311612,311615,,,,,,,,,,,,,,,,,,
Procter & Gamble ,LATC,CEOS,,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,,
Protected Vehicles Inc. ,LATC,,,336992,,,,,,,,,,,,,,,,,,,,
"Qtel Americas, Inc. ",LATC,,,,,,,,,,,,,,,,,,,,,,,
"QUALCOMM, Inc. ",LATC,,,334210,334220,334290,334413,334418,334419,,,,,,,,,,,,,,,
"Quality Float Works, Inc. ",LATC,CT3,,332313,332119,,,,,,,,,,,,,,,,,,,
R.L. Stowe Mills,TEX,,,313110,325220,,,,,,,,,,,,,,,,,,,
RadiciSpandex,TEX,,,325220,,,,,,,,,,,,,,,,,,,,
RC Aluminum,LATC,,,332321,,,,,,,,,,,,,,,,,,,,
"Real-Tite, Inc. ",LATC,,,332913,332919,,,,,,,,,,,,,,,,,,,
Regitar USA Inc. ,LATC,,,336320,333991,336310,335312,333613,,,,,,,,,,,,,,,,
Restorative Medical ,LATC,,,339113,,,,,,,,,,,,,,,,,,,,
Rockwell Automation,LATC,,,334513,335314,,,,,,,,,,,,,,,,,,,
"Rosemead Oil Products, Inc. ",LATC,,,324110,324191,,,,,,,,,,,,,,,,,,,
Rosemont Farms Corporation ,LATC,,,111339,111219,115114,,,,,,,,,,,,,,,,,,
Ross Valve Manufacturing and Co. ,LATC,,,332911,332912,,,,,,,,,,,,,,,,,,,
Ruiz Foods,CCFT,,,311412,,,,,,,,,,,,,,,,,,,,
Sanderson Farms,AGF3,,,311615,,,,,,,,,,,,,,,,,,,,
Schloss Engineered Equipment Inc. ,LATC,,,333318,,,,,,,,,,,,,,,,,,,,
Schneider Mills,TEX,,,313110,325220,313210,,,,,,,,,,,,,,,,,,
Seaboard Foods,AGF3,,,311611,311612,,,,,,,,,,,,,,,,,,,
"Security Vault Works, Inc. ",LATC,,,333318,,,,,,,,,,,,,,,,,,,,
SGS Tool Company,LATC,,,333517,333515,325510,,,,,,,,,,,,,,,,,,
"Shook Mobile Technology, LP",LATC,,,336992,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,LATC,,,334513,335311,335312,335313,335314,333612,333613,333515,333517,333519,,,,,,,,,,,
Simmons Processed Foods,AGF3,,,311615,,,,,,,,,,,,,,,,,,,,
Sony,LATC,,,334111,334310,333316,334220,339930,334413,334112,334210,334613,334290,333314,316998,,,,,,,,,
Southern Specialties ,LATC,,,111219,111334,111339,111320,311991,115114,,,,,,,,,,,,,,,
Southwestern Industries ,LATC,,,333517,333515,334613,332710,332721,332722,,,,,,,,,,,,,,,
Spokane Seed Company,LATC,,,111130,115114,,,,,,,,,,,,,,,,,,,
Stryker Corporation,CEOS,,,339112,339113,,,,,,,,,,,,,,,,,,,
Sunnen Products Company,LATC,,,333517,333515,336310,332216,324191,,,,,,,,,,,,,,,,
SunWest Foods,CCFT,,,311212,115114,311911,,,,,,,,,,,,,,,,,,
Swift Spinning,TEX,,,313110,,,,,,,,,,,,,,,,,,,,
"Technical Support, Inc. ",LATC,,,334412,334418,,,,,,,,,,,,,,,,,,,
Texas Instruments,CEOS,,,334412,334413,334416,334417,334418,334419,334111,334112,334118,334511,334512,334513,,,,,,,,,
Textron,LATC,,,336411,333991,334515,332722,334417,332216,333112,336310,336350,336370,336390,336411,336414,,,,,,,,
Texturing Services Inc. ,TEX,,,313110,325211,,,,,,,,,,,,,,,,,,,
Tramco Inc. ,LATC,,,333922,,,,,,,,,,,,,,,,,,,,
Triton International,LATC,,,326112,,,,,,,,,,,,,,,,,,,,
Triumph Apparel Inc,TEX,,,315240,,,,,,,,,,,,,,,,,,,,
"Tuscarora Yarns, Inc. ",TEX,,,313110,,,,,,,,,,,,,,,,,,,,
"Ultraliner, Inc. ",LATC,,,326122,,,,,,,,,,,,,,,,,,,,
"Under Armour, Inc. ",TEX,,,315210,315220,315240,315280,315290,,,,,,,,,,,,,,,,
Unifi,TEX,,,313110,,,,,,,,,,,,,,,,,,,,
"United Color Manufacturing, Inc. ",LATC,,,325130,,,,,,,,,,,,,,,,,,,,
United Technologies Corporation ,LATC,,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,,
Vektek Inc. ,LATC,,,333515,333995,332919,332912,333996,332420,,,,,,,,,,,,,,,
"VF Jeanswear, LP ",LATC,TEX,,315110,315190,315210,315220,315240,315280,315990,316210,,,,,,,,,,,,,
Viking Electronics ,LATC,,,334310,334290,339950,334519,332618,334210,335932,,,,,,,,,,,,,,
Villa International ,LATC,,,337121,337122,337124,337125,337127,,,,,,,,,,,,,,,,
"Vital Systems Electronics, Inc. ",LATC,,,334418,,,,,,,,,,,,,,,,,,,,
Volkan T. Ltd. ,LATC,,,,,,,,,,,,,,,,,,,,,,,
Warnaco Inc. ,TEX,,,315190,315210,315220,315240,315280,315990,316210,316998,,,,,,,,,,,,,
Washington Chain & Supply Co. Inc. ,LATC,,,331511,331512,331513,332618,331524,,,,,,,,,,,,,,,,
West Forge Products ,LATC,,,332111,332114,332119,,,,,,,,,,,,,,,,,,
Whirlpool Corporation,LATC,CEOS,,335210,335224,335222,335221,335228,333415,,,,,,,,,,,,,,,
Williamson & Cos Inc. ,LATC,,,,,,,,,,,,,,,,,,,,,,,
Wizard Screens ,LATC,,,321911,314910,332321,326199,,,,,,,,,,,,,,,,,
Xerox Corporation,CEOS,,,334118,325992,325910,,,,,,,,,,,,,,,,,,
Yanmar Construction Equipment ,LATC,,,333120,,,,,,,,,,,,,,,,,,,,
YKK (U.S.A.) Inc.,TEX,,,339993,,,,,,,,,,,,,,,,,,,,
York Wire & Cable Inc. ,LATC,,,331318,331420,,,,,,,,,,,,,,,,,,,
York-Shipley Global Division of AESYS Technologies LLC,LATC,,,332410,333414,,,,,,,,,,,,,,,,,,,
