"JR Simplot Company","AGF4",,,325311,325312,325314,325320,115112,115114,111339,311423,311411,311991,311999,311421,311111,311119,325312,325320,325199,325180,,,,,
"Keystone Foods","AGF3",,,311611,311612,311613,311615,,,,,,,,,,,,,,,,,,,
"Kikkoman Foods","CCFT",,,311941,311421,311422,311941,325411,,,,,,,,,,,,,,,,,,
"Kimberly-Clark","FTABC1",,,325620,339112,339113,339114,339115,32212,322291,322320,,,,,,,,,,,,,,,
"Levi Strauss & Company","FTABC1",,,315210,315220,315240,,,,,,,,,,,,,,,,,,,,
"Lockheed Martin Corporation","FTABC1",,,334511,336414,336415,336419,336992,334220,334290,334511,,,,,,,,,,,,,,,
"Mar jac poultry","AGF3",,,311615,,,,,,,,,,,,,,,,,,,,,,
"Marlin Steel Wire","CT2",,,332618,332322,332323,,,,,,,,,,,,,,,,,,,,
"Mars Inc. ","AGF3",,,311340,311351,311111,311212,311230,311412,311421,311422,311824,311919,311920,,,,,,,,,,,,
"Mary Kay Cosmetics","FTABC1",,,325620,,,,,,,,,,,,,,,,,,,,,,
"Medtronic, Inc.","FTABC1","USKBC",,339112,339113,339114,339115,32541,334510,,,,,,,,,,,,,,,,,
"Melaleuca, Inc.","FTABC1",,,325611,325612,,,,,,,,,,,,,,,,,,,,,
"Merck & Co., Inc.","FTABC1","USKBC",,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Michael Foods","AGF3",,,311999,311423,311919,112310,,,,,,,,,,,,,,,,,,,
"Micron Technology, Inc.","FTABC1",,,334413,,,,,,,,,,,,,,,,,,,,,,
"Microsoft","FTABC1","USKBC",,334111,334112,334118,334210,334220,,,,,,,,,,,,,,,,,,
"Miliken and Company","FTABC1",,,313110,313210,313240,313310,313320,325130,325180,314110,325220,,,,,,,,,,,,,,
"Monsanto","USKBC",,,325311,325320,325312,325314,,,,,,,,,,,,,,,,,,,
"Mountaire Farms","AGF3",,,311615,,,,,,,,,,,,,,,,,,,,,,
"New Balance Athletic Shoe, Inc.","FTABC1",,,316210,,,,,,,,,,,,,,,,,,,,,,
"Nike","FTABC1",,,316210,315110,315190,315210,315220,315240,315990,,,,,,,,,,,,,,,,
"Northrop Grumman Corporation","FTABC1","USKBC",,336411,336412,336413,336414,336415,336419,336992,332993,334511,,,,,,,,,,,,,,
"Novartis Corporation","FTABC1","NOVART",,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Nu Skin Enterprises","FTABC1",,,325620,,,,,,,,,,,,,,,,,,,,,,
"Ocean Spray","AGF1","OS",,111334,311423,311411,312111,311421,,,,,,,,,,,,,,,,,,
"Occidental Petroleum ","FTABC1",,,211111,211112,324110,325211,325180,325199,325110,,,,,,,,,,,,,,,,
"Otis McAllister","CT1",,,311212,311710,311421,311422,,,,,,,,,,,,,,,,,,,
"Pacific Foods","AGF3",,,311422,311824,311941,311942,,,,,,,,,,,,,,,,,,,
"Paramount Cosmetics","FTABC1",,,325620,,,,,,,,,,,,,,,,,,,,,,
"Paramount Farms","FTABC1",,,111335,,,,,,,,,,,,,,,,,,,,,,
"Paulson Manufacturing Corporation","CT1","CCFT",,333992,339115,339113,,,,,,,,,,,,,,,,,,,,
"Patterson Fans","FTABC1",,,333413,333414,333415,,,,,,,,,,,,,,,,,,,,
"Perdue Farms","AGF3",,,311615,311412,,,,,,,,,,,,,,,,,,,,,
"PepsiCo","FTABC1","CT1",,312111,312112,311919,311230,311411,,,,,,,,,,,,,,,,,,
"Pfizer","FTABC1","USKBC","PFZR",325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"PGENTERPRISE","FTABC1",,,316210,,,,,,,,,,,,,,,,,,,,,,
"PMX Industries","PMX",,,331420,332112,331523,,,,,,,,,,,,,,,,,,,,
"Power Accessories of the Americas, Inc.","FTABC1",,,333991,,,,,,,,,,,,,,,,,,,,,,
"PPG Industries","FTABC1",,,325510,333314,327211,327212,325199,325180,327120,,,,,,,,,,,,,,,,
"Prestage Farms","AGF3",,,311611,311612,311615,,,,,,,,,,,,,,,,,,,,
"Procter & Gamble","FTABC1",,,325620,325611,322291,32541,,,,,,,,,,,,,,,,,,,
"Quaker Fabric Corporation","FTABC1",,,313110,313210,,,,,,,,,,,,,,,,,,,,,
"Rankin Equipment","FTABC1",,,333111,333112,333120,,,,,,,,,,,,,,,,,,,,
"Raytheon Company","FTABC1",,,334511,336414,336415,336419,,,,,,,,,,,,,,,,,,,
"Rexahn Pharmaceuticals","FTABC1",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Rockwell Automation","FTABC1",,,334513,335314,,,,,,,,,,,,,,,,,,,,,
"Rosemead Oil Products, Inc.","FTABC1",,,324110,324191,,,,,,,,,,,,,,,,,,,,,
"Ruiz Foods","CCFT",,,311412,,,,,,,,,,,,,,,,,,,,,,
"S & G Concrete, Inc.","FTABC1",,,327331,,327390,,,,,,,,,,,,,,,,,,,,
"Sanderson Farms","AGF3",,,311615,,,,,,,,,,,,,,,,,,,,,,
"SB&B Foods","SBBF",,,111110,111140,111191,111199,,,,,,,,,,,,,,,,,,,
"Seaboard Foods","AGF1","FTABC1",,311611,311612,,,,,,,,,,,,,,,,,,,,,
"Schering-Plough Corporation","FTABC1",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Security vault works","FTABC1",,,333318,,,,,,,,,,,,,,,,,,,,,,
"Shook","FTABC1",,,336992,,,,,,,,,,,,,,,,,,,,,,
"Siemens Energy & Automation","FTABC1",,,334513,335311,335312,335313,335314,333612,333613,333515,333517,333519,,,,,,,,,,,,,
"Simmons Processed Foods","AGF3",,,311615,,,,,,,,,,,,,,,,,,,,,,
"SK Energy","SKE",,,312111,,,,,,,,,,,,,,,,,,,,,,
"Smithfield Foods","AGF1","FTABC1",,311611,311612,,,,,,,,,,,,,,,,,,,,,
"Southeast Milk Inc.","AGF4",,,311511,311512,311513,311514,,,,,,,,,,,,,,,,,,,
"Spectrum 3D","FTABC1",,,332710,326199,331512,331523,,,,,,,,,,,,,,,,,,,
"St. John Knits, Inc.","FTABC1",,,315240,315990,,,,,,,,,,,,,,,,,,,,,
"Sunrider International","FTABC1",,,325620,325611,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"SunWest Foods","CCFT",,,311212,115114,311911,,,,,,,,,,,,,,,,,,,,
"Tabet Manufacturing Company, Inc.","FTABC1",,,332313,332322,332111,332710,332721,332722,,,,,,,,,,,,,,,,,
"Taser","FTABC1",,,332994,,,,,,,,,,,,,,,,,,,,,,
"Technical Support Inc","FTABC1",,,334412,334418,,,,,,,,,,,,,,,,,,,,,
"Textron Inc.? ","FTABC1",,,336411,333991,334515,332722,334417,332216,333112,336310,336350,336370,336390,336411,336414,,,,,,,,,,
"The Boeing Company","FTABC1","CCFT","PLNS",336411,336412,336413,336414,336415,336419,,,,,,,,,,,,,,,,,
"TissueGene, Inc.","FTABC1",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Tyco International ","FTABC1",,,334290,333999,339113,336320,,,,,,,,,,,,,,,,,,,
"Tyson Foods, Inc. ","AGF1",,,311615,311611,311612,311824,311830,311941,311999,,,,,,,,,,,,,,,,
"United Color Manufacturing Inc.","FTABC1",,,325130,,,,,,,,,,,,,,,,,,,,,,
"United Technologies","FTABC1",,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,,,,
"VF Jeanswear L.P.","FTABC1",,,315110,315190,315210,315220,315240,315280,315990,316210,,,,,,,,,,,,,,,
"Viking Electronics","FTABC1",,,334310,336320,339950,334519,334210,,,,,,,,,,,,,,,,,,
"Villa International","FTABC1",,,337121,337122,337124,337125,337127,,,,,,,,,,,,,,,,,,
"W.L. Gore & Associates, Ltd.","FTABC1",,,313110,313210,313310,313320,315110,315220,315240,315990,33592,326113,326130,325211,325220,333413,339113,339991,325520,,,,,,
"Washington Chain & Supply Co. Inc.","FTABC1",,,331511,331512,331513,332618,331524,,,,,,,,,,,,,,,,,,
"Welch Foods Inc. ","AGF1","USITC1","WF",311411,311421,311352,,,,,,,,,,,,,,,,,,,,
"Wrigley","FTABC1",,,311340,,,,,,,,,,,,,,,,,,,,,,
